Unnamed: 0,Species,Country.of.Origin,Farm.Name,Company,Region,Producer,Grading.Date,Owner.1,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points,Moisture,Color
30,Arabica,Nicaragua,,,,,"May 18th, 2010",Nora Zeas,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,86.58,0.08,
31,Arabica,"Tanzania, United Republic Of",,,,,"September 3rd, 2013",Specialty Coffee-Korea,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,86.5,0.11,Bluish-Green
32,Arabica,Brazil,fazenda recreio,nucoffee,vale da grama,Homero Texeira de Macedo Junior,"December 3rd, 2011",NUCOFFEE,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,86.42,0.12,Green
33,Arabica,Costa Rica,exclusive coffees s.a.,exclusive coffees s.a.,west and central valley,Exclusive Coffees S.A.,"December 3rd, 2015",Francisco A Mena,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,86.33,0.0,Blue-Green
34,Arabica,Ethiopia,haider abamecha coffee plantation,haider abamecha coffee export,oromia,Haider Abamecha Abadiko,"March 27th, 2015",Hider Abamecha,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,86.25,0.1,Green
35,Arabica,Kenya,kangunu,c dorman ltd,muranga,Kangunu,"May 30th, 2014",Daniel Magu,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,86.25,0.12,Blue-Green
36,Arabica,United States (Hawaii),,kona pacific farmers cooperative,kona,,"April 6th, 2012",Kona Pacific Farmers Cooperative,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,86.25,0.0,
37,Arabica,United States (Hawaii),kona pacific farmers cooperative,,kona,Kona Pacific Farmers Co-Op,"January 28th, 2011",Kona Pacific Farmers Cooperative,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,86.25,0.0,
38,Arabica,Ethiopia,"phone number | 0911-51-08-01, email | at",,yirgacheffe,Contact name | ATO Teshome Belamo,"June 17th, 2010",Ethiopia Commodity Exchange,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,86.25,0.1,
39,Arabica,United States,la primavera,coffee quality institute,antioquia,Hugo Sepúlveda Montoya,"March 13th, 2015",CQI Q Coffee Sample Representative,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,86.17,0.0,
40,Arabica,Thailand,co-op #12,lanna cafe,chiang rai,ITDP,"April 12th, 2012",ITDP International,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,86.17,0.1,Green
41,Arabica,Brazil,pereira estate coffee,,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,"January 4th, 2011",Jacques Pereira Carneiro,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,86.17,0.08,
42,Arabica,Brazil,pereira estate coffee,,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,"January 4th, 2011",Jacques Pereira Carneiro,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,86.17,0.01,
43,Arabica,Taiwan,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,natou county,LIN YEN CHIEN 林言謙,"June 10th, 2015","Lin, Che-Hao Krude 林哲豪",Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,86.08,0.12,Green
44,Arabica,Kenya,jungle estate,keremara limited,nyeri,JUNGLE ESTATE,"January 29th, 2015",Jungle Estate,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,86.08,0.11,Bluish-Green
45,Arabica,Brazil,fazenda kaquend,nucoffee,south of minas,Ralph Junqueira,"December 3rd, 2011",NUCOFFEE,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,86.08,0.11,Blue-Green
46,Arabica,Uganda,kaasayi,ucda,eastern uganda,Kaasay Farmer Group,"October 1st, 2014",Great Lakes Coffee Uganda,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,86.0,0.0,
47,Arabica,Colombia,ecobio colombia,lusso coffee lab,tolima,,"March 20th, 2014",LUSSO LAB,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,86.0,0.12,Green
48,Arabica,Kenya,kianjavi,lusso coffee lab,kiambu,,"February 6th, 2014",LUSSO LAB,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,86.0,0.11,Green
49,Arabica,Uganda,,kawacom uganda ltd,"sipi, mt elgon",Kawacom,"February 13th, 2012",AFCA,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,86.0,0.1,Blue-Green
50,Arabica,Ethiopia,contact | sidacoop@ethionet.net,,sidamo,Sidama Coffee Farmers Coop. Union,"June 17th, 2010",Ethiopia Commodity Exchange,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,86.0,0.01,
51,Arabica,United States (Hawaii),hula daddy kona coffee,,kona,Hula Daddy Kona Coffee,"May 31st, 2010",Grounds for Health Admin,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,86.0,0.0,
52,Arabica,Guatemala,la esperanza y anexos,"unex guatemala, s.a.",nuevo oriente,MARGARITA AVILA DE NUYENS,"May 16th, 2016",Juan Luis Alvarado Romero,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,85.92,0.1,Green
53,Arabica,Uganda,sipi organic coffee project,kawacom uganda ltd,eastern,Kawacom (U)Ltd,"June 30th, 2014",Kawacom Uganda LTD,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,85.92,0.12,Green
54,Arabica,Colombia,,exportadora de cafe condor s.a,huila,,"July 26th, 2013",Exportadora de Cafe Condor S.A,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,85.92,0.0,Blue-Green
55,Arabica,Panama,la berlina estate,ce specialty s.a.,boquete,Plinio Ruiz,"October 9th, 2017",Gonzalo Hernandez,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,85.83,0.08,Bluish-Green
56,Arabica,Ethiopia,,ibrahim hussien specality coffee product & exporter,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,85.83,0.1,Green
57,Arabica,Guatemala,valparaiso,sertrasa,acatenango,SERTRASA,"July 3rd, 2012",Juan Luis Alvarado Romero,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,85.83,0.12,Green
58,Arabica,Guatemala,finca el limon,unicafe,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,"June 5th, 2012",Juan Luis Alvarado Romero,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,85.83,0.1,Bluish-Green
59,Arabica,Ethiopia,seid damtew coffee planation,seid damtew coffee planation,addis ababa,seid damtew coffee export and plantation,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,85.75,0.09,None
60,Arabica,Peru,,sustainable harvest,cajamarca,,"January 22nd, 2014",Dane Loraas,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,85.75,0.1,Green
61,Arabica,Papua New Guinea,tairora cherry – bonta,cqi,eastern highlands province,"Colbran CoffeeLands, Ltd.","October 25th, 2012","Colbran Coffeelands, Ltd.",Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,85.75,0.12,Bluish-Green
62,Arabica,El Salvador,el majahual,atlantic specialty coffee,apaneca,Aida Batlle,"March 18th, 2013",Atlantic Specialty Coffee,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,85.58,0.1,Blue-Green
63,Arabica,El Salvador,finca la esmeralda,lusso coffee lab,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,"January 12th, 2013",LUSSO LAB,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,85.58,0.11,None
64,Arabica,United States (Hawaii),,kona pacific farmers cooperative,kona,,"April 6th, 2012",Kona Pacific Farmers Cooperative,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,85.58,0.0,
65,Arabica,Panama,elida estate,essence coffee,boquete,Lamastus,"May 23rd, 2015",EssenceCoffee,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,85.5,0.09,
66,Arabica,Kenya,inoi,essence coffee,kirinyaga,,"May 23rd, 2015",EssenceCoffee,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,85.5,0.1,Green
67,Arabica,Ethiopia,,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,"March 31st, 2015",Assefa Belay Coffee Producer,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,85.5,0.12,Green
68,Arabica,Uganda,buginyanya,kyagalanyi coffee ltd,bulambuli eastern region,Kyagalanyi coffee Ltd,"June 26th, 2014",Kyagalanyi Ltd,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,85.5,0.12,Green
69,Arabica,Guatemala,asoperc,exportcafe,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),"February 26th, 2013",Juan Luis Alvarado Romero,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,85.5,0.11,Green
70,Arabica,Ethiopia,,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,"March 31st, 2015",Assefa Belay Coffee Producer,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,85.42,0.1,Green
71,Arabica,Uganda,chesiyo farmer group,great lakes coffee,kapchorwa,Chesiyo Farmer group,"June 26th, 2014",Great Lakes Coffee Uganda,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,85.42,0.12,Green
72,Arabica,United States (Hawaii),,kona pacific farmers cooperative,kona,,"April 6th, 2012",Kona Pacific Farmers Cooperative,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,85.42,0.0,
73,Arabica,Brazil,fazenda serra de três barras,nucoffee,south of minas,José Vagner Ribeiro Junqueira,"December 3rd, 2011",NUCOFFEE,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,85.42,0.11,Blue-Green
74,Arabica,El Salvador,sierra nevada,,apaneca,J. Hill y Cia SA de CV,"May 31st, 2010",Grounds for Health Admin,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,85.42,0.01,
75,Arabica,China,pu'er city longke coffee co.ltd,yunnan coffee exchange,yunnan,Pu'er City Longke Coffee Co.Ltd,"April 6th, 2016",Yunnan Coffee Exchange,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,85.33,0.1,Green
76,Arabica,Guatemala,el injerto s.a.,essence coffee,huehuetenango,Arturo Aguirre,"May 23rd, 2015",EssenceCoffee,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,85.33,0.11,Green
77,Arabica,Costa Rica,several,the coffee source inc.,west valley,Cafe Altura de San Ramon,"May 1st, 2014",The Coffee Source Inc.,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,85.33,0.0,Bluish-Green
78,Arabica,Costa Rica,several,the coffee source inc.,san ramon,SEVERAL,"May 1st, 2014",The Coffee Source Inc.,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,85.33,0.1,Bluish-Green
79,Arabica,Kenya,,rashid moledina & co. (msa) ltd,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,85.33,0.0,Green
80,Arabica,Kenya,,ibero kenya limited,central kenya,Blend from various Producers,"March 12th, 2013",Ibero Kenya Limited,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,85.33,0.0,Green
81,Arabica,Ethiopia,phone number | 0911-513824 email: gmt.ft,,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc","June 17th, 2010",Ethiopia Commodity Exchange,,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,85.33,0.05,
82,Arabica,Ethiopia,,,yirgacheffe,Contact name | Hailu Gebre Hiwot,"June 17th, 2010",Ethiopia Commodity Exchange,,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,85.33,0.1,
83,Arabica,Guatemala,la esperanza y anexos,"unex guatemala, s.a.",oriente,MARGARITA AVILA DE NUYENS,"April 27th, 2016",Juan Luis Alvarado Romero,,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,85.25,0.1,Green
84,Arabica,Colombia,various,exportadora de cafe condor s.a,santander,varios,"April 8th, 2015",Exportadora de Cafe Condor S.A,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,85.25,0.11,Green
85,Arabica,Colombia,,ecom cca sa,santander,,"January 17th, 2014",Compañia Colombiana Agroindustrial S.A,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,85.25,0.12,Green
86,Arabica,Indonesia,,"nomura trading co., ltd.",lintong,,"November 26th, 2012","Nomura Trading Co., Ltd.",Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,85.17,0.11,Green
87,Arabica,Guatemala,coop. hoja blanca - fedecocagua,the coffee source inc.,huehuetenango,Coop. Hoja Blanca - Fedecocagua,"January 18th, 2012",The Coffee Source Inc.,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,85.17,0.0,
88,Arabica,Ethiopia,seid damtew coffee planation,seid damtew coffee planation,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATION,"August 9th, 2016",SEID DAMTEW COFFEE PLANATAION,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,85.08,0.11,Green
89,Arabica,Colombia,,carcafe ltda,pasto,JOSE ALBEIRO GOMEZ / LUIS JABER REALPE,"August 18th, 2015",CARCAFE LTDA CI,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,85.08,0.0,
90,Arabica,Ethiopia,aricha coop,the specialty coffee appraisers institute of asia,aricha,BNT,"October 7th, 2014",Steven Kil,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,85.08,0.1,Green
91,Arabica,United States (Hawaii),,kona pacific farmers cooperative,kona,,"March 10th, 2014",Eileen Koyanagi,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,85.08,0.11,Bluish-Green
92,Arabica,Colombia,,carcafe ltda,cundinamarca,ORLANDO ORTIZ /WILSON ORTIZ/GILBERTO ACOSTA,"March 16th, 2012",CARCAFE LTDA CI,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,85.08,0.11,Green
93,Arabica,United States (Hawaii),,,kona,Kona Pacific Farmers Cooperative,"December 27th, 2010",Kona Pacific Farmers Cooperative,,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,85.08,0.01,
94,Arabica,Ethiopia,,,sidamo,Exporter Name | Muluneh Kaka | Phone: 0114390290,"June 17th, 2010",Ethiopia Commodity Exchange,,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,85.08,0.0,
95,Arabica,United States (Hawaii),kona pacific farmers cooperative,,kona,,"May 17th, 2010",Kona Pacific Farmers Cooperative,,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,85.08,0.0,
96,Arabica,Uganda,mount elgon area,kyagalanyi coffee ltd,eastern uganda,Kyagalanyi Coffee Ltd,"July 24th, 2017",Kyagalanyi Coffee Ltd,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,85.0,0.11,Green
97,Arabica,Colombia,,racafe & cia s.c.a,huila,La Plata,"February 15th, 2017",Racafe & Cia S.C.A,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,85.0,0.0,Green
98,Arabica,Costa Rica,estate la patricia,bold coast coffee,tarrazu,Manuel Montero,"January 30th, 2017",Troy Quimby,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,85.0,0.12,Green
99,Arabica,Mexico,various,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",veracruz,Varios productores minifundistas,"September 21st, 2016","El Equimite, Cafetal Biodinámico",Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,85.0,0.09,Green
100,Arabica,Kenya,,c dorman ltd,,,"May 7th, 2016",SIMON MAHINDA,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,85.0,0.11,Green
101,Arabica,Kenya,machure estate,rashid moledina & co. (msa) ltd,central kenya,,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,85.0,0.0,Green
102,Arabica,Brazil,sitío são geraldo,nucoffee,grama valley,Idalina M. De Andrade Ferreira,"February 29th, 2012",NUCOFFEE,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,85.0,0.12,Green
103,Arabica,Mexico,kassandra,,mexico,Finca Kassandra,"April 6th, 2011",Young Kim,,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,85.0,0.0,
104,Arabica,United States (Hawaii),kona pacific farmers cooperative,,kona,,"February 24th, 2011",Kona Pacific Farmers Cooperative,,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,85.0,0.0,
105,Arabica,Guatemala,la igualdad,,"chuva, san marcos",Federico Weller,"September 7th, 2010",Carl Walker,,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,85.0,0.04,
106,Arabica,Colombia,,racafe & cia s.c.a,huila,La Plata,"November 25th, 2016",Racafe & Cia S.C.A,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,84.92,0.0,
107,Arabica,Colombia,,racafe & cia s.c.a,huila,La Plata,"October 26th, 2015",Racafe & Cia S.C.A,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,84.92,0.12,Green
108,Arabica,Taiwan,baishengcun coffee 百勝村咖啡莊園,taiwan coffee laboratory,natou county,SU CHUEN SHIAN 蘇春賢,"June 9th, 2015","Lin, Che-Hao Krude 林哲豪",Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,84.92,0.11,Green
109,Arabica,"Tanzania, United Republic Of",hasambo amcos,taylor winch (t) ltd,mbeya,Hasambo AMCOS,"December 12th, 2014",Taylor Winch (T) Ltd,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,84.92,0.12,Green
110,Arabica,Colombia,,racafe & cia s.c.a,huila,LA PLATA,"December 11th, 2012",Racafe & Cia S.C.A,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,84.92,0.11,Green
111,Arabica,Mexico,el suspiro,,coatepec,ARTEMIO ZAPATA TEJEDA,"July 11th, 2012",ARTEMIO ZAPATA TEJEDA,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,84.92,0.11,
